run_id,run_label,order_num,conveyor,replication
4,run_4_algorithm1_load_balance_smart_active_need_weighted_fixed,10,4,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,4,1,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,5,1,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,11,1,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,3,2,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,7,2,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,1,2,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,8,3,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,9,3,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,6,3,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,2,4,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,10,4,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,6,1,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,1,1,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,10,1,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,11,1,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,9,2,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,2,2,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,5,2,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,7,3,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,8,3,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,3,4,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,4,4,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,6,1,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,1,1,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,10,1,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,11,1,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,9,2,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,2,2,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,5,2,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,7,3,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,8,3,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,3,4,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,4,4,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,6,1,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,1,1,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,10,1,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,11,1,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,9,2,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,2,2,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,5,2,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,7,3,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,8,3,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,3,4,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,4,4,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,6,1,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,1,1,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,10,1,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,11,1,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,9,2,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,2,2,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,5,2,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,7,3,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,8,3,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,3,4,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,4,4,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,5,1,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,3,1,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,9,1,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,8,2,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,2,2,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,11,2,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,1,3,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,4,3,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,7,4,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,6,4,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,10,4,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,5,1,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,3,1,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,9,1,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,8,2,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,2,2,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,11,2,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,1,3,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,4,3,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,7,4,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,6,4,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,10,4,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,5,1,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,3,1,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,9,1,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,8,2,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,2,2,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,11,2,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,1,3,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,4,3,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,7,4,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,6,4,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,10,4,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,5,1,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,3,1,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,9,1,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,8,2,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,2,2,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,11,2,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,1,3,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,4,3,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,7,4,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,6,4,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,10,4,2
14,run_14_algorithm3_itemtype_overlap_smart_active_need_fixed,4,1,2
